"State","Max AQI","County","Unhealthy Days","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Indiana",84,"Perry",0,0,0,229,0,0
"Indiana",136,"Porter",0,0,0,150,145,8
"Indiana",105,"Posey",0,0,0,246,0,0
"Indiana",105,"Shelby",0,0,0,270,0,0
"Indiana",88,"Spencer",0,0,0,0,273,0
"Indiana",127,"St. Joseph",0,0,0,160,113,0
"Indiana",95,"Tippecanoe",0,0,0,0,259,0
"Indiana",100,"Vanderburgh",0,32,0,110,162,1
"Indiana",108,"Vigo",0,0,0,118,182,0
"Indiana",87,"Wabash",0,0,0,230,0,0
"Indiana",97,"Warrick",0,0,0,273,0,0
"Indiana",108,"Whitley",0,0,0,0,251,0
"Iowa",158,"Black Hawk",1,0,0,0,304,0
"Iowa",115,"Bremer",0,0,0,241,0,0
"Iowa",166,"Clinton",1,0,0,138,166,0
"Iowa",119,"Harrison",0,0,0,236,0,0
"Iowa",159,"Johnson",1,0,0,0,304,0
"Iowa",163,"Linn",1,0,0,118,186,0
"Iowa",133,"Montgomery",0,0,0,133,171,0
"Iowa",141,"Muscatine",0,0,0,0,304,0
"Iowa",134,"Palo Alto",0,0,0,149,155,0
"Iowa",136,"Polk",0,0,0,100,202,2
"Iowa",87,"Pottawattamie",0,0,0,0,90,0
"Iowa",159,"Scott",1,1,0,140,113,51
"Iowa",129,"Van Buren",0,0,0,93,210,0
"Iowa",165,"Webster",2,0,0,0,104,19
"Iowa",122,"Woodbury",0,0,0,213,52,0
"Kansas",56,"Chase",0,0,0,0,18,0
"Kansas",101,"Douglas",0,0,0,162,0,0
"Kansas",115,"Ford",0,0,0,0,145,35
"Kansas",188,"Johnson",1,0,0,103,76,2
"Kansas",97,"Leavenworth",0,0,0,180,0,0
"Kansas",315,"Neosho",0,0,0,104,72,5
"Kansas",192,"Sedgwick",1,0,0,88,89,4
"Kansas",238,"Shawnee",0,0,0,102,75,4
"Kansas",93,"Sherman",0,0,0,0,119,30
"Kansas",370,"Sumner",0,0,0,38,129,14
"Kansas",91,"Trego",0,0,0,127,45,8
"Kansas",240,"Wyandotte",0,0,6,83,73,6
"Kentucky",101,"Bell",0,0,0,65,116,0
"Kentucky",74,"Boone",0,0,0,122,0,0
"Kentucky",88,"Boyd",0,0,1,86,94,5
"Kentucky",71,"Bullitt",0,0,0,110,0,0
"Kentucky",77,"Campbell",0,0,1,81,109,0
"Kentucky",82,"Carter",0,0,0,91,90,5
"Kentucky",75,"Christian",0,0,0,74,106,0
"Kentucky",82,"Daviess",0,0,0,67,114,0
"Kentucky",77,"Edmonson",0,0,0,209,5,0
"Kentucky",76,"Fayette",0,0,3,78,99,6
"Kentucky",67,"Greenup",0,0,0,122,0,0
"Kentucky",71,"Hancock",0,0,0,122,0,0
"Kentucky",73,"Hardin",0,0,0,75,52,0
"Kentucky",129,"Jefferson",0,1,2,74,105,0
"Kentucky",72,"Jessamine",0,0,0,87,92,0
"Kentucky",67,"Livingston",0,0,0,106,0,0
"Kentucky",82,"McCracken",0,0,6,74,101,0
"Kentucky",77,"Morgan",0,0,0,237,0,0
"Kentucky",105,"Oldham",0,0,0,122,0,0
"Kentucky",172,"Perry",1,0,0,84,97,0
"Kentucky",77,"Pike",0,0,0,81,100,0
"Kentucky",73,"Pulaski",0,0,0,87,94,0
"Kentucky",74,"Simpson",0,0,0,121,0,0
"Kentucky",73,"Warren",0,0,0,78,103,0
"Kentucky",84,"Washington",0,0,0,238,0,0
"Louisiana",108,"Ascension",0,0,5,267,0,0
"Louisiana",101,"Bossier",0,0,0,209,58,6
"Louisiana",80,"Caddo",0,0,0,229,39,0
"Louisiana",108,"Calcasieu",0,0,0,97,176,0
"Louisiana",115,"East Baton Rouge",0,1,0,88,184,1
"Louisiana",105,"Iberville",0,0,0,242,31,0
"Louisiana",101,"Jefferson",0,0,1,119,153,0
"Louisiana",79,"Lafayette",0,0,0,93,177,0
"Louisiana",77,"Lafourche",0,0,0,67,206,0
"Louisiana",84,"Livingston",0,0,2,106,163,0
"Louisiana",71,"Orleans",0,1,15,0,256,2
"Louisiana",71,"Ouachita",0,0,0,93,179,0
"Louisiana",93,"Pointe Coupee",0,0,0,273,0,0
"Louisiana",67,"Rapides",0,0,0,0,57,0
"Louisiana",93,"St. Bernard",0,0,0,142,131,0
